Word,Frequency
están,9
como,8
calle,6
manifestantes,6
partido,6
sede,5
esta,5
gran,5
pero,5
policial,4
manifestaciones,4
congreso,4
para,4
desde,4
algunos,4
sino,3
¡eros,3
cien,3
psoe,3
puta,3
grupos,3
ferraz,3
después,3
ellos,3
gobierno,3
también,3
estado,3
cordón,3
llegar,3
cerraz,3
aquí,3
hemos,3
visto,2
minutos,2
delegación,2
entre,2
contado,2
tensión,2
hasta,2
momentos,2
intentado,2
derecha,2
parte,2
socialista,2
anarrosa,2
tarde,2
violencia,2
zona,2
españa,2
nuevo,2
varios,2
evitar,2
pasaban,2
hora,2
donde,2
ahora,2
cuando,2
diputados,2
fuerte,2
repitiendo,2
ante,2
podido,2
político,2
acceder,2
puntos,2
mauro,2
otro,1
acede,1
anestía,1
sumado,1
desocupa,1
vinculados,1
extrema,1
comenzado,1
tipo,1
organizaciones,1
protestas,1
furgones,1
agentes,1
abandonado,1
repitan,1
mañana,1
toda,1
contra,1
escenas,1
esas,1
madrid,1
encendiendo,1
vengalas,1
podiendo,1
sigue,1
desplegado,1
este,1
rodea,1
cada,1
llegan,1
permanezcan,1
impedido,1
rumpiendo,1
posible,1
algunas,1
viviendo,1
acerquen,1
trabajadores,1
cerradas,1
prefieren,1
concentración,1
comunicada,1
apoyan,1
otra,1
desocupasta,1
acercado,1
protesta,1
vimos,1
cautos,1
esperan,1
policía,1
primero,1
dato,1
asistentes,1
arraïc,1
intentando,1
ayer,1
imágenes,1
cinco,1
muchas,1
media,1
estos,1
altercados,1
puedan,1
perjudicar,1
gracias,1
veíamos,1
personas,1
representantes,1
concentradas,1
ferrad,1
está,1
socialistas,1
momento,1
primera,1
pedido,1
otras,1
romper,1
secretaria,1
belenger,1
contaba,1
entendemos,1
plaza,1
volvían,1
abrir,1
acaban,1
tres,1
cruce,1
dice,1
contundencia,1
condenar,1
alberto,1
núñez,1
cegón,1
tenía,1
agenda,1
pública,1
escuchado,1
verraquero,1
vuelven,1
unos,1
decidido,1
volver,1
ciudad,1
hace,1
centro,1
regreso,1
solo,1
según,1
buen,1
haber,1
dirección,1
rato,1
cortado,1
permanecido,1
tráfico,1
durante,1
civeles,1
general,1
respondido,1
desplazando,1
decís,1
hacia,1
precisamente,1
sido,1
acusaciones,1
grandes,1
partidos,1
cruzando,1
facilite,1
tratado,1
policiales,1
misma,1
puerta,1
extremo,1
empezando,1
producir,1
vuelto,1
torno,1
dicen,1
escoltados,1
nunca,1
convocarían,1
unas,1
insisten,1
falta,1
menta,1
nivel,1
número,1
policías,1
habéis,1
acaba,1
contar,1
compañera,1
había,1
despliegue,1
pasalo,1
